Price,Close,High,Low,Open,Volume,Daily_Return,MA_30,MA_7
Ticker,PLTR,PLTR,PLTR,PLTR,PLTR,,,
Date,,,,,,,,
2020-09-30,9.5,11.40999984741211,9.109999656677246,10.0,338584400,,,
2020-10-01,9.460000038146973,10.100000381469727,9.229999542236328,9.6899995803833,124297600,-0.004210522300318709,,
2020-10-02,9.199999809265137,9.279999732971191,8.9399995803833,9.0600004196167,55018300,-0.027484167847082297,,
2020-10-05,9.029999732971191,9.489999771118164,8.920000076293945,9.430000305175781,36316900,-0.01847826954547782,,
2020-10-06,9.899999618530273,10.180000305175781,8.899999618530273,9.039999961853027,90864000,0.09634550512581486,,
2020-10-07,10.0,10.489999771118164,9.989999771118164,10.039999961853027,54672400,0.010101049022522401,,
2020-10-08,10.0,10.399999618530273,9.989999771118164,10.289999961853027,34989200,0.0,,9.584285599844796
2020-10-09,9.949999809265137,10.1899995803833,9.890000343322754,10.130000114440918,19653500,-0.00500001907348635,,9.648571286882673
2020-10-12,9.890000343322754,10.050000190734863,9.65999984741211,10.039999961853027,20623600,-0.0060300971952294,,9.709999901907784
2020-10-13,9.470000267028809,9.880000114440918,9.40999984741211,9.880000114440918,21847200,-0.042467144763802644,,9.748571395874023
2020-10-14,9.34000015258789,9.65999984741211,9.289999961853027,9.600000381469727,13652600,-0.013727572415550227,,9.79285717010498
2020-10-15,9.90999984741211,9.90999984741211,9.180000305175781,9.270000457763672,12924100,0.06102780358802096,,9.794285774230957
2020-10-16,9.710000038146973,9.949999809265137,9.65999984741211,9.9399995803833,11142500,-0.020181615776448725,,9.752857208251953
2020-10-19,9.569999694824219,9.819999694824219,9.529999732971191,9.789999961853027,9126400,-0.014418160944669856,,9.691428593226842
2020-10-20,9.270000457763672,9.65999984741211,9.270000457763672,9.600000381469727,11138200,-0.03134788366010055,,9.594285828726631
2020-10-21,9.199999809265137,9.479999542236328,9.199999809265137,9.300000190734863,9190000,-0.007551310144748635,,9.49571432386126
2020-10-22,9.680000305175781,9.75,9.220000267028809,9.369999885559082,17928600,0.05217396802848251,,9.525714329310826
2020-10-23,9.489999771118164,9.829999923706055,9.470000267028809,9.710000038146973,12618000,-0.019628153725989694,,9.547142846243721
2020-10-26,9.949999809265137,9.970000267028809,9.600000381469727,9.720000267028809,23767300,0.04847208105809808,,9.55285712650844
2020-10-27,10.949999809265137,11.039999961853027,9.920000076293945,10.0,53695900,0.1005025144893803,,9.729999950953893
2020-10-28,10.850000381469727,10.984999656677246,10.100000381469727,10.65999984741211,30941700,-0.009132367994271307,,9.912857191903251
2020-10-29,10.75,11.100000381469727,10.5600004196167,10.899999618530273,20515700,-0.009216624696208542,,10.124285697937012
2020-10-30,10.130000114440918,10.680000305175781,9.850000381469727,10.609999656677246,19705500,-0.057674407958984375,,10.257142884390694
2020-11-02,10.539999961853027,10.569999694824219,10.229999542236328,10.229999542236328,11677800,0.04047382455876081,,10.37999997820173
2020-11-03,10.5,10.9399995803833,10.4399995803833,10.569999694824219,21652800,-0.003795062808140126,,10.52428572518485
2020-11-04,10.720000267028809,10.920000076293945,10.550000190734863,10.819999694824219,15783400,0.02095240638369611,,10.634285790579659
2020-11-05,11.880000114440918,12.130000114440918,10.850000381469727,10.899999618530273,48560400,0.1082089382945155,,10.767142977033343
2020-11-06,13.829999923706055,14.960000038146973,12.050000190734863,12.220000267028809,89977600,0.16414139650510484,,11.192857197352819
2020-11-09,14.670000076293945,15.899999618530273,14.109999656677246,14.960000038146973,60099000,0.0607375384831379,,11.752857208251953
2020-11-10,14.0,15.010000228881836,13.180000305175781,14.989999771118164,38078700,-0.04567144327263062,10.378000005086262,12.305714334760394
2020-11-11,15.960000038146973,15.970000267028809,14.399999618530273,14.569999694824219,47027900,0.14000000272478386,10.593333339691162,13.080000059945244
2020-11-12,14.579999923706055,17.059999465942383,14.40999984741211,16.65999984741211,97904000,-0.08646617237734933,10.764000002543131,13.662857191903251
2020-11-13,15.800000190734863,16.0,14.489999771118164,14.489999771118164,76354800,0.08367628761404688,10.98400001525879,14.388571466718401
2020-11-16,15.930000305175781,16.100000381469727,15.010000228881836,15.960000038146973,65326000,0.008227855245036553,11.214000034332276,14.967142922537667
2020-11-17,17.850000381469727,18.75,16.18000030517578,16.290000915527344,116618500,0.12052730944833212,11.47900005976359,15.541428702218193
2020-11-18,17.899999618530273,19.25,17.540000915527344,18.280000686645508,89957900,0.0028010776466118603,11.742333380381266,16.002857208251953
2020-11-19,18.979999542236328,18.979999542236328,17.959999084472656,18.5,56225400,0.060335192554307415,12.04166669845581,16.714285714285715
2020-11-20,18.149999618530273,19.65999984741211,18.0,19.030000686645508,72104000,-0.04373023939537246,12.315000025431315,17.027142797197616
2020-11-23,21.040000915527344,21.450000762939453,18.56999969482422,18.6299991607666,84716300,0.15922872494424278,12.686666711171467,17.950000081743514
2020-11-24,23.81999969482422,24.270000457763672,20.6299991607666,22.350000381469727,115468800,0.1321292137989052,13.165000025431315,19.09571429661342
2020-11-25,29.049999237060547,29.75,23.690000534057617,23.959999084472656,202563700,0.21956337570284434,13.821999994913737,20.969999858311244
2020-11-27,27.65999984741211,33.5,26.1200008392334,31.190000534057617,207834000,-0.047848517251427136,14.413666661580404,22.37142835344587
2020-11-30,27.110000610351562,30.149999618530273,24.110000610351562,28.239999771118164,137243000,-0.01988428199908343,14.99366668065389,23.687142780848912
2020-12-01,25.670000076293945,28.139999389648438,24.450000762939453,28.09000015258789,84050000,-0.05311694952554791,15.530333360036215,24.642857142857142
2020-12-02,22.510000228881836,23.399999618530273,21.149999618530273,22.239999771118164,149062100,-0.12310088967745447,15.971666685740153,25.265714372907365
2020-12-03,24.030000686645508,25.6200008392334,23.5,23.549999237060547,85634300,0.06752556385199004,16.466000048319497,25.69285719735282
2020-12-04,23.850000381469727,25.239999771118164,23.510000228881836,24.8799991607666,56044100,-0.007490649189861087,16.938333384195964,25.69714300973075
2020-12-07,28.940000534057617,29.0,24.440000534057617,24.440000534057617,118463700,0.21341719375998713,17.586666742960613,25.681428909301758
2020-12-08,28.59000015258789,31.239999771118164,27.25,30.6299991607666,124754300,-0.012094000518688142,18.208000087738036,25.814286095755442
2020-12-09,26.6299991607666,28.850000381469727,25.329999923706055,28.68000030517578,79634700,-0.0685554732899809,18.730666732788087,25.745714460100448
2020-12-10,27.040000915527344,28.040000915527344,25.149999618530273,25.541000366210938,57774800,0.015396236112721562,19.270333417256673,25.941428865705216
2020-12-11,27.200000762939453,28.270000457763672,26.059999465942383,27.149999618530273,52764400,0.005917153919925866,19.81866677602132,26.61142894199916
2020-12-14,27.239999771118164,28.260000228881836,26.729999542236328,28.260000228881836,44734500,0.0014705517300281912,20.389000097910564,27.07000023978097
2020-12-15,26.43000030517578,27.100000381469727,25.520000457763672,26.81999969482422,49273200,-0.029735663463595352,20.918666776021322,27.438571657453263
2020-12-16,25.920000076293945,26.15999984741211,25.110000610351562,25.709999084472656,44013400,-0.019296262693646815,21.432666778564453,27.007143020629883
2020-12-17,27.229999542236328,27.450000762939453,26.049999237060547,26.520000457763672,53829800,0.05054010270395359,21.983000087738038,26.812857219151088
2020-12-18,25.969999313354492,26.850000381469727,25.799999237060547,26.270000457763672,71042900,-0.04627250275665462,22.45266672770182,26.718571526663645
2020-12-21,28.510000228881836,28.700000762939453,25.399999618530273,26.190000534057617,76729100,0.09780519763900042,22.942000071207683,26.928571428571427
2020-12-22,28.040000915527344,29.420000076293945,26.81999969482422,29.030000686645508,66033100,-0.01648541948724236,23.387666765848795,27.0485714503697
2020-12-23,28.690000534057617,29.389999389648438,28.049999237060547,28.950000762939453,58772200,0.0231811553961232,23.877333450317384,27.255714416503906
2020-12-24,27.75,29.15999984741211,27.520000457763672,28.79800033569336,26306800,-0.03276404728336457,24.27033344904582,27.444285801478795
2020-12-28,25.6299991607666,28.59000015258789,25.399999618530273,28.389999389648438,55878700,-0.07639642663904134,24.638666756947835,27.402857099260604
2020-12-29,24.65999984741211,26.18199920654297,24.34000015258789,25.75,47302400,-0.03784624834632566,24.934000078837077,27.035714285714285
2020-12-30,25.100000381469727,25.90999984741211,24.6299991607666,24.969999313354492,34586700,0.01784268194566896,25.239666748046876,26.911428724016464
2020-12-31,23.549999237060547,24.719999313354492,23.520000457763672,24.6299991607666,39922500,-0.06175303270327759,25.4296667098999,26.202857153756277
2021-01-04,23.3700008392334,24.5,22.5,23.90999984741211,44970400,-0.007643244316708375,25.61200008392334,25.535714285714285
2021-01-05,24.600000381469727,24.670000076293945,22.889999389648438,23.18000030517578,29050400,0.05263155746966919,25.79933344523112,24.9514285496303
2021-01-06,23.540000915527344,24.459999084472656,23.25,24.1200008392334,32732900,-0.04308940851646659,25.979000155131022,24.35000010899135
2021-01-07,25.0,25.190000534057617,23.670000076293945,24.020000457763672,32240000,0.062022048754875714,26.111000124613444,24.260000228881836
2021-01-08,25.200000762939453,26.440000534057617,24.700000762939453,25.700000762939453,41313800,0.008000030517578027,26.157000160217287,24.337143216814315
2021-01-11,25.93000030517578,26.600000381469727,24.309999465942383,24.610000610351562,32609000,0.028968234926004754,26.053000195821127,24.455714634486608
2021-01-12,26.18000030517578,26.420000076293945,25.510000228881836,26.34000015258789,26887200,0.009641341961345695,26.003666877746582,24.831429072788783
2021-01-13,25.5,27.43000030517578,25.1299991607666,25.709999084472656,51216600,-0.025974037328080013,25.950000190734862,25.13571466718401
2021-01-14,24.920000076293945,25.6200008392334,24.3700008392334,25.450000762939453,32908000,-0.02274509504729627,25.925000190734863,25.181428909301758
2021-01-15,25.639999389648438,28.0,25.459999084472656,26.260000228881836,92285500,0.028892428216299226,26.02933349609375,25.481428691319056
2021-01-19,26.6200008392334,27.540000915527344,26.0,26.809999465942383,48675800,0.03822158630708139,26.115666834513345,25.712857382638113
2021-01-20,26.34000015258789,27.299999237060547,25.700000762939453,27.290000915527344,37459000,-0.010518432675360123,26.19866682688395,25.875714438302175
2021-01-21,25.979999542236328,26.68000030517578,25.299999237060547,26.420000076293945,29891400,-0.013667449060974723,26.100000127156576,25.882857186453684
2021-01-22,32.58000183105469,32.650001525878906,25.81999969482422,25.850000381469727,156844700,0.2540416630142188,26.233000183105467,26.797143118722097
2021-01-25,36.22999954223633,39.58000183105469,29.559999465942383,34.459999084472656,191345300,0.11203184487554352,26.553000195821127,28.330000196184432
2021-01-26,35.369998931884766,36.869998931884766,34.31999969482422,35.13999938964844,65870000,-0.02373725148268324,26.830666796366373,29.82285717555455
2021-01-27,39.0,45.0,32.25,32.970001220703125,170758800,0.10262938020173129,27.22400010426839,31.731428691319056
