Price,Close,High,Low,Open,Volume,Daily_Return,MA_30,MA_7
Ticker,MS,MS,MS,MS,MS,,,
Date,,,,,,,,
2019-01-02,32.31396484375,32.56991678677002,31.00220732178759,31.210170182483758,10648000,,,
2019-01-03,31.738061904907227,32.16998182310032,31.394126012774237,32.16998182310032,13034500,-0.017822106993910403,,
2019-01-04,33.0338249206543,33.257785134654284,32.21797704745345,32.39394513319898,14371600,0.040826784560109575,,
2019-01-07,33.36176681518555,33.72170018486597,32.77787626045411,33.20179608964005,11812400,0.009927457547497243,,
2019-01-08,33.153812408447266,33.921668354721334,32.85786850125194,33.83368428877962,11398200,-0.006233315156546904,,
2019-01-09,33.385765075683594,33.761692779375736,32.99383694280998,33.52173821184742,9223000,0.006996259265110272,,
2019-01-10,33.321773529052734,33.56172808192922,32.98583776526319,33.09781635319304,7560800,-0.0019167314718052664,,32.90128135681152
2019-01-11,33.385765075683594,33.489743455860214,32.761879538684525,33.01783148420645,8191900,0.0019204123866656264,,33.05439567565918
2019-01-14,33.97765350341797,34.22560829063008,32.889856187012214,33.04182975547909,12336300,0.017728766328781065,,33.374337332589285
2019-01-15,34.2975959777832,34.38558003555303,33.617721109408706,33.76169446736152,11737000,0.009416261612446242,,33.554876055036274
2019-01-16,35.58534622192383,36.08125262372153,34.92946607607888,35.19341817697605,30530400,0.0375463704504182,,33.87253025599888
2019-01-17,34.017635345458984,34.53753930774417,33.28177446777408,33.95364890231496,47037200,-0.04405495640503254,,33.995933532714844
2019-01-18,34.94546890258789,35.00945841019027,34.04163999161175,34.40957050676244,20614400,0.027275075051704345,,34.21874836512974
2019-01-22,33.921653747558594,34.18560583172208,33.537725939746515,33.92965090866037,20202400,-0.029297508008355178,,34.30444553920201
2019-01-23,33.71369171142578,34.089619281476345,33.321763717881865,34.0096354711303,15583900,-0.006130657357699687,,34.351292201450896
2019-01-24,33.63370895385742,34.05763174374127,33.46574110092332,33.5537251337518,13421600,-0.0023724117267540645,,34.30215726579939
2019-01-25,34.3775749206543,34.59353492680228,34.03363895358761,34.12962016147974,13422700,0.02211667966257891,,34.31358282906668
2019-01-28,34.113624572753906,34.177611025249725,33.64171266224581,33.945653651179015,10396600,-0.007677980442471699,,34.10333687918527
